dataset,model,seed,rate,accuracy,recall_g0,recall_g1,masking_gap,exploratory
COMPAS,XGB,123,0.05,0.662879,0.70019,0.486891,0.003182,False
COMPAS,XGB,123,0.1,0.65846,0.688805,0.498127,0.010148,False
COMPAS,XGB,123,0.2,0.642677,0.681214,0.509363,0.001955,False
COMPAS,LGB,123,0.0,0.680556,0.717268,0.486891,0.0,False
COMPAS,LGB,123,0.05,0.665404,0.6926,0.475655,0.009516,False
COMPAS,LGB,123,0.1,0.669192,0.688805,0.490637,0.017099,False
COMPAS,LGB,123,0.2,0.647727,0.673624,0.498127,0.010815,False
COMPAS,MLP,123,0.0,0.683712,0.726755,0.486891,0.0,False
COMPAS,MLP,123,0.05,0.678662,0.713472,0.483146,0.008232,False
COMPAS,MLP,123,0.1,0.675505,0.696395,0.490637,0.022153,False
COMPAS,MLP,123,0.2,0.656566,0.660342,0.468165,0.039267,False
COMPAS,LR,456,0.0,0.686869,0.75985,0.51341,0.0,False
COMPAS,LR,456,0.05,0.686237,0.756098,0.54023,0.003121,False
COMPAS,LR,456,0.1,0.683081,0.748593,0.544061,0.007469,False
COMPAS,LR,456,0.2,0.667929,0.724203,0.563218,0.016708,False
COMPAS,RF,456,0.0,0.631313,0.69606,0.54023,0.0,False
COMPAS,RF,456,0.05,0.627525,0.701689,0.547893,-0.009416,False
COMPAS,RF,456,0.1,0.620581,0.694184,0.547893,-0.008856,False
COMPAS,RF,456,0.2,0.606061,0.688555,0.536398,-0.017748,False
COMPAS,XGB,456,0.0,0.668561,0.726079,0.54023,0.0,False
COMPAS,XGB,456,0.05,0.66351,0.72045,0.547893,0.000578,False
COMPAS,XGB,456,0.1,0.650884,0.714822,0.532567,-0.00642,False
COMPAS,XGB,456,0.2,0.638258,0.707317,0.532567,-0.011541,False
COMPAS,LGB,456,0.0,0.661616,0.711069,0.528736,0.0,False
COMPAS,LGB,456,0.05,0.656566,0.711069,0.54023,-0.005051,False
COMPAS,LGB,456,0.1,0.647096,0.707317,0.524904,-0.010768,False
COMPAS,LGB,456,0.2,0.630051,0.707317,0.521073,-0.027813,False
COMPAS,MLP,456,0.0,0.690657,0.780488,0.532567,0.0,False
COMPAS,MLP,456,0.05,0.684975,0.769231,0.544061,0.005575,False
COMPAS,MLP,456,0.1,0.681187,0.757974,0.547893,0.013044,False
COMPAS,MLP,456,0.2,0.662247,0.72045,0.56705,0.031628,False
COMPAS,LR,1,0.0,0.675505,0.759124,0.45122,0.0,False
COMPAS,LR,1,0.05,0.667298,0.739051,0.447154,0.011866,False
COMPAS,LR,1,0.1,0.660985,0.731752,0.45122,0.012852,False
COMPAS,LR,1,0.2,0.655303,0.729927,0.479675,0.008995,False
COMPAS,RF,1,0.0,0.645202,0.706204,0.504065,0.0,False
COMPAS,RF,1,0.05,0.640152,0.70073,0.50813,0.000424,False
COMPAS,RF,1,0.1,0.632576,0.693431,0.520325,0.000147,False
COMPAS,RF,1,0.2,0.623737,0.689781,0.520325,-0.005041,False
COMPAS,XGB,1,0.0,0.677399,0.718978,0.46748,0.0,False
COMPAS,XGB,1,0.05,0.668561,0.713504,0.47561,-0.003364,False
COMPAS,XGB,1,0.1,0.655934,0.702555,0.479675,-0.005041,False
COMPAS,XGB,1,0.2,0.645833,0.708029,0.512195,-0.020617,False
COMPAS,LGB,1,0.0,0.674874,0.717153,0.463415,0.0,False
COMPAS,LGB,1,0.05,0.66351,0.69708,0.45935,0.008709,False
COMPAS,LGB,1,0.1,0.655934,0.689781,0.463415,0.008433,False
COMPAS,LGB,1,0.2,0.647096,0.686131,0.5,0.003244,False
COMPAS,MLP,1,0.0,0.693813,0.755474,0.45935,0.0,False
COMPAS,MLP,1,0.05,0.685606,0.735401,0.447154,0.011866,False
COMPAS,MLP,1,0.1,0.678662,0.726277,0.430894,0.014046,False
COMPAS,MLP,1,0.2,0.675505,0.715328,0.430894,0.021838,False
COMPAS,LR,7,0.0,0.67803,0.75283,0.450758,0.0,False
